"source_id","citation","url","accessed"
"ciaaw-2021","CIAAW, Standard Atomic Weights 2021 (conventional values)","https://ciaaw.org/atomic-weights.htm","2026-08-05"
"periodictable-pkg","R package 'PeriodicTable' (values predate the 2009 IUPAC revision; see note)","https://cran.r-project.org/package=PeriodicTable","2023-10-21"
"computed-from-formula","Computed from the molecular formula and CIAAW 2021 atomic weights","","2026-08-05"
"ngsp-master-eq","NGSP, IFCC Standardization: IFCC and NGSP","https://ngsp.org/ifccngsp.asp","2026-08-05"
"who-is-66-304","WHO 1st International Standard for Insulin, Human, recombinant DNA (66/304)","https://www.nibsc.org/","2026-08-05"
"uniprot-P01308","UniProt P01308 (INS_HUMAN), mature insulin chains","https://www.uniprot.org/uniprotkb/P01308","2026-08-05"
"uniprot-P02768","UniProt P02768 (ALBU_HUMAN), mature chain","https://www.uniprot.org/uniprotkb/P02768","2026-08-05"
"pubchem","PubChem Compound database","https://pubchem.ncbi.nlm.nih.gov/","2026-08-05"
